Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",['busy'],[],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],['busy'],[],"(8, 9)",['busy'],['busy'],['busy'],['busy'],[],"(8, 9)",['busy'],['busy'],[],['busy'],['busy'],"(8, 9)",[],[],['busy'],['busy'],[],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],[]
"(9, 10)",[],[],[],['busy'],['busy'],"(9, 10)",[],['busy'],[],['busy'],['busy'],"(9, 10)",[],['busy'],[],['busy'],['busy'],"(9, 10)",['DM872-I'],[],['DM872-T'],['busy'],['busy'],"(9, 10)",['busy'],['DM803-T'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],['busy'],['busy'],['busy'],"(9, 10)",[],[],['busy'],['busy'],[],"(9, 10)",['busy'],['busy'],['busy'],['busy'],[],"(9, 10)",['busy'],['busy'],[],['busy'],['busy'],"(9, 10)",[],[],['busy'],['busy'],[],"(9, 10)",[],['busy'],[],['busy'],['busy'],"(9, 10)",[],[],[],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],[]
"(10, 11)",[],[],[],['busy'],['busy'],"(10, 11)",[],[],['busy'],['busy'],[],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['DM872-I'],[],['DM872-T'],['busy'],['busy'],"(10, 11)",[],['DM803-T'],['busy'],['busy'],[],"(10, 11)",['busy'],[],[],['busy'],['busy'],"(10, 11)",['busy'],[],['busy'],['busy'],[],"(10, 11)",[],['busy'],['busy'],['busy'],[],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],[],"(10, 11)",[],['busy'],['busy'],['busy'],['busy'],"(10, 11)",[],[],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],[]
"(11, 12)",[],[],[],['busy'],['busy'],"(11, 12)",[],[],['busy'],['busy'],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",[],['DM873-T'],[],['busy'],['busy'],"(11, 12)",[],[],['busy'],['busy'],[],"(11, 12)",['busy'],[],[],['busy'],['busy'],"(11, 12)",['busy'],[],['busy'],['busy'],[],"(11, 12)",['DM865-I'],['busy'],['busy'],['busy'],[],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],[],"(11, 12)",[],['busy'],['busy'],['busy'],['busy'],"(11, 12)",[],[],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],[]
"(12, 13)",[],[],[],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],[],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",[],['DM873-T'],[],['busy'],['busy'],"(12, 13)",[],[],['busy'],['busy'],[],"(12, 13)",['busy'],[],[],['busy'],['busy'],"(12, 13)",[],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['DM865-I'],[],['busy'],['busy'],['busy'],"(12, 13)",['busy'],[],['busy'],['busy'],['busy'],"(12, 13)",[],['busy'],['busy'],['busy'],[],"(12, 13)",[],[],['busy'],['busy'],['busy'],"(12, 13)",[],[],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy']
"(13, 14)",[],[],[],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],[],[],['busy'],['busy'],"(13, 14)",[],['DM865-I'],[],['busy'],[],"(13, 14)",['busy'],[],[],['busy'],['busy'],"(13, 14)",[],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],[],['busy'],['busy'],['busy'],"(13, 14)",['busy'],[],['busy'],['busy'],['busy'],"(13, 14)",[],['busy'],['busy'],['busy'],[],"(13, 14)",['DM873-I'],[],['busy'],['busy'],['busy'],"(13, 14)",[],[],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy']
"(14, 15)",[],[],[],['busy'],['busy'],"(14, 15)",[],['busy'],[],['busy'],['busy'],"(14, 15)",[],['busy'],['busy'],['busy'],['busy'],"(14, 15)",[],[],[],['busy'],['busy'],"(14, 15)",['busy'],['DM865-I'],[],['busy'],['busy'],"(14, 15)",['busy'],[],[],['busy'],['busy'],"(14, 15)",[],['busy'],[],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['busy'],[],['busy'],['busy'],['busy'],"(14, 15)",[],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['DM873-I'],[],[],['busy'],['busy'],"(14, 15)",[],[],['busy'],['busy'],['busy'],"(14, 15)",[],[],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy']
"(15, 16)",[],[],[],['busy'],['busy'],"(15, 16)",[],['busy'],['busy'],['busy'],['busy'],"(15, 16)",[],[],['busy'],['busy'],['busy'],"(15, 16)",['DM803-T'],[],[],['busy'],['busy'],"(15, 16)",['busy'],[],['DM876-T'],['busy'],['busy'],"(15, 16)",['busy'],[],[],['busy'],['busy'],"(15, 16)",[],['busy'],[],['busy'],['busy'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['DM872-I'],['busy'],['busy'],['busy'],"(15, 16)",[],['busy'],['busy'],['busy'],['busy'],"(15, 16)",[],[],[],['busy'],['busy'],"(15, 16)",[],[],['busy'],['busy'],['busy'],"(15, 16)",[],[],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],['busy']
"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],['busy'],['busy'],['busy'],"(16, 17)",[],[],['busy'],['busy'],['busy'],"(16, 17)",['DM803-T'],[],[],['busy'],['busy'],"(16, 17)",[],[],['DM876-T'],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],['busy'],[],['busy'],['busy'],"(16, 17)",[],['DM872-I'],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy'],"(16, 17)",[],[],[],['busy'],['busy']
"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],['busy'],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy'],"(17, 18)",[],[],[],['busy'],['busy']
