Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],[],[],"(8, 9)",[],[],['busy'],[],[],"(8, 9)",[],['busy'],[],[],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],[],[],"(8, 9)",['busy'],[],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],[],"(8, 9)",['busy'],[],[],[],[],"(8, 9)",['busy'],['busy'],[],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],[],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",[],[],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],['busy'],['busy']
"(9, 10)",['MM852-I'],[],[],[],[],"(9, 10)",[],[],['busy'],[],[],"(9, 10)",['busy'],['busy'],['busy'],[],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['DM803-I'],[],[],['busy'],"(9, 10)",['busy'],['busy'],[],['busy'],['busy'],"(9, 10)",[],[],[],['busy'],[],"(9, 10)",['busy'],['busy'],[],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",[],[],['busy'],['busy'],['busy'],"(9, 10)",['DM803-I'],[],['busy'],['busy'],['busy']
"(10, 11)",['MM852-I'],[],[],[],[],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['DM803-I'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],[],['busy'],"(10, 11)",['busy'],[],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],[],['busy'],['busy'],[],"(10, 11)",['DM803-I'],[],['busy'],['busy'],['busy']
"(11, 12)",['DM846-I'],[],[],[],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],[],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],[],['busy'],"(11, 12)",['busy'],[],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],[],['busy'],['busy'],[],"(11, 12)",[],[],['busy'],['busy'],['busy']
"(12, 13)",['DM846-I'],[],['busy'],[],[],"(12, 13)",[],['DM846-I'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],[],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",[],['busy'],['busy'],['busy'],['busy'],"(12, 13)",[],['busy'],[],['busy'],[],"(12, 13)",[],['busy'],[],[],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],[],['busy'],[],"(12, 13)",[],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],[],['busy'],"(12, 13)",['busy'],[],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],[],[],"(12, 13)",['busy'],['busy'],[],['busy'],['busy']
"(13, 14)",[],[],['busy'],[],[],"(13, 14)",[],['DM846-I'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],[],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],['busy'],['busy'],['busy'],[],"(13, 14)",[],['busy'],[],['busy'],[],"(13, 14)",['busy'],['busy'],[],[],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],[],['busy'],[],"(13, 14)",[],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],[],['busy'],"(13, 14)",[],[],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],[],[],"(13, 14)",['busy'],['busy'],[],['busy'],['busy']
"(14, 15)",[],[],['busy'],[],[],"(14, 15)",[],[],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['MM852-T'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy'],"(14, 15)",[],['busy'],['busy'],['busy'],[],"(14, 15)",[],['busy'],[],[],['DM876-I'],"(14, 15)",[],['busy'],['busy'],[],[],"(14, 15)",[],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],[],[],[],"(14, 15)",['busy'],['busy'],['busy'],[],['DM846-T'],"(14, 15)",['busy'],['busy'],['busy'],[],[],"(14, 15)",[],[],['busy'],['busy'],['busy'],"(14, 15)",['busy'],[],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],['busy']
"(15, 16)",[],['DM865-I'],['busy'],[],[],"(15, 16)",[],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],['MM852-T'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],['busy'],"(15, 16)",[],['busy'],['busy'],['busy'],[],"(15, 16)",[],['busy'],[],[],['DM876-I'],"(15, 16)",[],['busy'],['busy'],[],[],"(15, 16)",[],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],[],[],[],"(15, 16)",['busy'],['busy'],['busy'],[],['DM846-T'],"(15, 16)",['busy'],['busy'],['busy'],[],[],"(15, 16)",['DM865-I'],[],[],['busy'],['busy'],"(15, 16)",[],[],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],[],['busy'],['busy']
"(16, 17)",[],['DM865-I'],['busy'],[],[],"(16, 17)",[],['busy'],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],['busy'],[],"(16, 17)",[],['busy'],[],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",['busy'],[],['busy'],[],[],"(16, 17)",['DM865-I'],[],[],[],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],['busy'],[],[]
"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",['busy'],[],[],['busy'],[],"(17, 18)",[],['busy'],[],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",['busy'],[],['busy'],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],['busy'],[],[],"(17, 18)",[],[],['busy'],[],[]
"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],[],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",[],['busy'],[],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy'],"(18, 19)",['busy'],['busy'],['busy'],['busy'],['busy']
"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],[],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",[],['busy'],[],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy'],"(19, 20)",['busy'],['busy'],['busy'],['busy'],['busy']
