Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],[],[],"(8, 9)",[],['busy'],['busy'],[],['busy'],"(8, 9)",[],['busy'],[],[],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],[],[],"(8, 9)",['busy'],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],[],[],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],[],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],['busy'],[],"(8, 9)",['busy'],[],['busy'],[],['busy'],"(8, 9)",[],['busy'],[],['busy'],[],"(8, 9)",['busy'],[],[],[],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy']
"(9, 10)",['DM803-I'],['MM852-T'],[],['DM876-T'],[],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],[],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['MM852-I'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],[],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],[],"(9, 10)",['busy'],[],['busy'],[],['busy'],"(9, 10)",[],['busy'],['DM876-I'],['busy'],[],"(9, 10)",['busy'],['DM803-T'],[],[],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy']
"(10, 11)",['DM803-I'],['MM852-T'],[],['DM876-T'],[],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['MM852-I'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],[],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],[],['busy'],['busy'],[],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",[],['busy'],['DM876-I'],['busy'],[],"(10, 11)",['busy'],['DM803-T'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy']
"(11, 12)",[],['DM865-I'],[],['DM873-I'],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['DM865-I'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],[],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],[],['busy'],['busy'],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",[],['busy'],[],['busy'],[],"(11, 12)",['busy'],[],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy']
"(12, 13)",[],['DM865-I'],[],['DM873-I'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['DM865-I'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],[],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],[],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[]
"(13, 14)",[],[],[],[],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],[],['busy'],[],"(13, 14)",[],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],[],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[]
"(14, 15)",[],[],[],[],['DM873-T'],"(14, 15)",[],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['DM846-I'],['busy'],[],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy'],"(14, 15)",[],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],[],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[]
"(15, 16)",[],[],[],[],['DM873-T'],"(15, 16)",[],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],[],['DM873-I'],[],[],"(15, 16)",['DM846-I'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],[],['busy'],"(15, 16)",[],['busy'],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['DM846-T'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[]
"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],['busy'],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],['busy'],[],"(16, 17)",[],[],['DM873-I'],[],[],"(16, 17)",[],[],[],['busy'],[],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],['busy'],['busy'],[],"(16, 17)",['busy'],[],[],['busy'],[],"(16, 17)",[],['DM846-T'],[],[],[],"(16, 17)",['busy'],[],[],[],[],"(16, 17)",['busy'],[],['busy'],[],[]
"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],[],[],[],"(17, 18)",[],['busy'],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],['busy'],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],['busy'],[],"(17, 18)",[],['busy'],[],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],['busy'],['busy'],[],"(17, 18)",['busy'],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],[],[],[],"(17, 18)",['busy'],[],['busy'],[],[]
