Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],['busy'],[],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],[],[],"(8, 9)",['busy'],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],[],[],[],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],[],['busy'],['busy'],['busy']
"(9, 10)",[],[],[],['busy'],[],"(9, 10)",['MM852-I'],[],[],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],['busy'],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],[],['busy'],['busy'],"(9, 10)",[],['busy'],['DM803-T'],[],[],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],['busy'],['busy'],['busy']
"(10, 11)",[],[],['busy'],['busy'],[],"(10, 11)",['MM852-I'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],[],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],[],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",[],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['DM865-I'],['busy'],['DM803-T'],[],[],"(10, 11)",['busy'],['busy'],['busy'],[],['busy'],"(10, 11)",['busy'],['DM846-I'],['busy'],['busy'],['busy']
"(11, 12)",[],[],[],['busy'],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",[],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['DM865-I'],['busy'],[],[],[],"(11, 12)",['busy'],['busy'],['busy'],[],['busy'],"(11, 12)",['busy'],['DM846-I'],['busy'],['busy'],['busy']
"(12, 13)",['DM846-I'],['DM865-I'],[],[],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",[],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",[],['busy'],['busy'],['busy'],[],"(12, 13)",[],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[],"(12, 13)",['busy'],[],[],['busy'],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[]
"(13, 14)",['DM846-I'],['DM865-I'],[],[],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],[],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],['busy'],[],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",[],['busy'],['busy'],['busy'],[],"(13, 14)",[],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],[],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],[],[],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[]
"(14, 15)",[],[],[],[],['MM852-T'],"(14, 15)",['busy'],[],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],['DM876-I'],"(14, 15)",['busy'],['busy'],['busy'],[],['busy'],"(14, 15)",[],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],[],['busy'],['busy'],[],"(14, 15)",[],['busy'],['busy'],[],[],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],[],[],"(14, 15)",[],[],[],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],['busy'],"(14, 15)",['busy'],[],[],['busy'],['DM846-T'],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[]
"(15, 16)",[],[],[],['DM865-I'],['MM852-T'],"(15, 16)",[],[],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],[],['busy'],['DM876-I'],"(15, 16)",['busy'],['busy'],['busy'],[],['busy'],"(15, 16)",['DM873-I'],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],[],['busy'],[],[],"(15, 16)",[],['busy'],['busy'],[],[],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],[],[],"(15, 16)",[],[],[],['busy'],[],"(15, 16)",['busy'],['busy'],[],[],['busy'],"(15, 16)",['busy'],['DM803-I'],['DM873-I'],['busy'],['DM846-T'],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[]
"(16, 17)",[],[],[],['DM865-I'],[],"(16, 17)",[],['busy'],[],[],[],"(16, 17)",[],['busy'],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",['DM873-I'],[],[],['busy'],[],"(16, 17)",[],[],['busy'],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",['busy'],[],[],[],[],"(16, 17)",[],['DM803-I'],['DM873-I'],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[]
"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],['busy'],[],[],[],"(17, 18)",[],['busy'],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],['busy'],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],['busy'],[],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[]
