Room NAT IMADA semi,Room U154,Room U151,Room U163,Room U152,Room U174,Room U181,Room U141,Room U164,Room U145,Room U142,Room U7,Room U17,Room U180
Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4,Time,day 0,day 1,day 2,day 3,day 4
"(8, 9)",[],[],[],[],[],"(8, 9)",['DM873-I'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],['busy'],[],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",[],[],['busy'],[],[],"(8, 9)",['busy'],[],[],['busy'],['busy'],"(8, 9)",[],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],['busy'],['busy'],['busy'],['busy'],"(8, 9)",['busy'],[],['busy'],['busy'],[],"(8, 9)",['busy'],['busy'],['busy'],[],['busy'],"(8, 9)",[],['busy'],['DM873-T'],['busy'],['busy'],"(8, 9)",[],[],[],['busy'],['busy'],"(8, 9)",['busy'],['DM873-I'],['busy'],['busy'],['busy']
"(9, 10)",[],[],[],[],[],"(9, 10)",['DM873-I'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],['busy'],['busy'],['busy'],"(9, 10)",[],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],[],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['busy'],['busy'],['busy'],"(9, 10)",['busy'],['busy'],['DM873-T'],['busy'],['busy'],"(9, 10)",[],[],[],['busy'],['busy'],"(9, 10)",['busy'],['DM873-I'],['busy'],['busy'],['busy']
"(10, 11)",['MM852-I'],[],[],[],[],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],['busy'],['busy'],['busy'],"(10, 11)",[],['busy'],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['busy'],[],['busy'],['busy'],"(10, 11)",['DM803-I'],[],['busy'],['busy'],['busy'],"(10, 11)",['busy'],['DM803-T'],['busy'],['busy'],['busy']
"(11, 12)",['MM852-I'],[],[],[],[],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['busy'],['busy'],['busy'],['busy'],"(11, 12)",[],['busy'],['busy'],[],['busy'],"(11, 12)",['busy'],['busy'],[],['busy'],['busy'],"(11, 12)",['DM803-I'],[],['busy'],['busy'],['busy'],"(11, 12)",['busy'],['DM803-T'],['busy'],['busy'],['busy']
"(12, 13)",[],[],[],[],[],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],[],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],[],['busy'],['busy'],[],"(12, 13)",['DM865-I'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],[],['busy'],['busy'],['busy'],"(12, 13)",[],['DM865-I'],['busy'],['busy'],['busy'],"(12, 13)",['busy'],['busy'],['busy'],['busy'],[]
"(13, 14)",[],[],[],[],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],[],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],[],['busy'],[],"(13, 14)",['busy'],['busy'],[],['busy'],[],"(13, 14)",['DM865-I'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[],"(13, 14)",['busy'],['busy'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],[],['busy'],['busy'],['busy'],"(13, 14)",[],['DM865-I'],['busy'],['busy'],['busy'],"(13, 14)",['busy'],['busy'],['busy'],['busy'],[]
"(14, 15)",['busy'],[],[],[],['busy'],"(14, 15)",['DM846-I'],[],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",['busy'],[],['busy'],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],[],['busy'],[],"(14, 15)",[],['busy'],['busy'],[],['busy'],"(14, 15)",['busy'],['busy'],[],['busy'],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[],"(14, 15)",[],['busy'],['busy'],['busy'],[],"(14, 15)",['busy'],['busy'],['busy'],['busy'],['busy'],"(14, 15)",['busy'],[],['busy'],['busy'],[],"(14, 15)",['DM876-I'],[],[],[],['busy'],"(14, 15)",['busy'],['busy'],['busy'],['busy'],[]
"(15, 16)",['busy'],[],[],[],[],"(15, 16)",['DM846-I'],[],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],[],['busy'],['busy'],['busy'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],[],[],[],"(15, 16)",[],['busy'],['busy'],[],['busy'],"(15, 16)",['busy'],['busy'],[],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[],"(15, 16)",[],['busy'],['busy'],['busy'],[],"(15, 16)",['busy'],['busy'],['busy'],[],['busy'],"(15, 16)",['busy'],[],['busy'],['busy'],[],"(15, 16)",['DM876-I'],[],[],[],['busy'],"(15, 16)",['busy'],['busy'],['busy'],['busy'],[]
"(16, 17)",['busy'],[],[],[],[],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],['busy'],[],[],[],"(16, 17)",[],[],[],[],['MM852-T'],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],[],[],[],['DM876-T'],"(16, 17)",[],[],[],[],['DM846-T'],"(16, 17)",[],['busy'],[],['busy'],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",['busy'],[],[],[],['busy'],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],[],[],[],"(16, 17)",[],[],['busy'],[],[]
"(17, 18)",['busy'],[],[],[],[],"(17, 18)",['busy'],['busy'],[],[],[],"(17, 18)",[],['busy'],[],[],[],"(17, 18)",[],[],[],[],['MM852-T'],"(17, 18)",['busy'],['busy'],[],['busy'],[],"(17, 18)",[],[],[],[],['DM876-T'],"(17, 18)",[],[],[],[],['DM846-T'],"(17, 18)",[],['busy'],[],['busy'],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",['busy'],[],[],[],['busy'],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],[],[],[],"(17, 18)",[],[],['busy'],[],[]
